[WARN] 2018-03-09 11:40:58,116 org.springframework.data.mongodb.core.convert.CustomConversions register - Registering converter from class java.lang.Number to class java.lang.Number as writing converter although it doesn't convert to a Mongo supported type! You might wanna check you annotation setup at the converter implementation.
[ERROR] 2018-03-09 11:42:02,389 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:02,657 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:02,719 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:02,769 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:02,797 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:02,841 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:02,893 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:02,939 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:02,978 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:03,019 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:03,039 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:03,058 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:03,080 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
